size:
11,18,11
blocks:
.7
0,0,0
0,0,1
1,0,0
1,0,1
9,0,0
9,0,1
10,0,0
10,0,1
0,0,9
0,0,10
1,0,9
1,0,10
9,0,9
10,0,9
9,0,10
10,0,10
1,1,1
1,1,2
2,1,1
2,1,2
8,1,1
8,1,2
9,1,1
9,1,2
1,1,8
1,1,9
2,1,8
2,1,9
8,1,8
9,1,8
8,1,9
9,1,9
2,2,2
2,2,3
3,2,2
3,2,3
7,2,2
7,2,3
8,2,2
8,2,3
2,2,7
2,2,8
3,2,7
3,2,8
7,2,7
8,2,7
7,2,8
8,2,8
3,3,2
4,3,2
5,3,2
6,3,2
7,3,2
8,3,3
8,3,4
8,3,5
8,3,6
8,3,7
2,3,7
2,3,6
2,3,5
2,3,4
2,3,3
3,3,8
4,3,8
5,3,8
6,3,8
7,3,8
3,3,3
4,3,3
5,3,3
6,3,3
7,3,3
7,3,4
7,3,5
7,3,6
3,3,6
3,3,5
3,3,4
3,3,7
4,3,7
5,3,7
6,3,7
7,3,7
3,4,3
4,4,3
3,4,4
7,4,3
6,4,3
7,4,4
7,4,7
6,4,7
7,4,6
3,4,7
3,4,6
4,4,7
4,5,3
3,5,4
6,5,3
7,5,4
6,5,7
7,5,6
3,5,6
4,5,7
4,6,3
3,6,4
6,6,3
7,6,4
6,6,7
7,6,6
3,6,6
4,6,7
4,7,3
3,7,4
3,7,5
6,7,3
7,7,4
7,7,5
6,7,7
7,7,6
5,7,7
3,7,6
4,7,7
5,7,3
4,8,4
5,8,4
6,8,4
4,8,5
4,8,6
5,8,6
6,8,6
6,8,5
5,9,4
5,9,6
4,9,5
6,9,5
5,10,4
5,10,6
4,10,5
6,10,5
5,11,4
5,11,6
4,11,5
6,11,5
5,12,4
5,12,6
4,12,5
6,12,5
5,13,5
5,14,5
5,15,5
5,16,5
5,17,5
